;LATITUDE;LONGITUDE;LOCAL;TIPO_ACID;DIA_SEM;FERIDOS;FERIDOS_GR;FATAIS;TEMPO;NOITE_DIA;KMeans
378;-30.027454;-51.196078;1;2;6;0;0;0;0;1;7
379;-30.006206;-51.194879;0;1;6;0;0;0;0;0;0
380;-30.035048;-51.194475;1;1;6;2;0;0;0;0;1
381;-30.00664;-51.193362;1;1;6;0;0;0;0;0;8
382;-30.039754;-51.19268;1;1;6;1;0;0;0;0;1
383;-29999036.0;-51.191019;1;1;6;0;0;0;0;0;6
384;-30.066017;-51.188999;1;2;6;0;0;0;0;1;7
385;-30.002123;-51.185898;0;3;6;0;0;0;0;0;0
386;-30.087794;-51.184721;1;1;6;1;0;0;0;1;7
387;-30.026379;-51.17986;0;3;6;0;0;0;0;0;0
388;-29979673.0;-51.179197;1;1;6;1;0;0;0;0;6
389;-30.007748;-51.178649;0;3;6;0;0;0;0;0;0
390;-30.015484000000004;-51.171881;1;3;6;0;0;0;0;0;8
391;-30.019968;-51.163793;1;2;6;1;0;0;0;1;7
392;-30.063964;-51.156123;1;3;6;1;0;0;0;0;8
393;-30.04077;-51.152706;0;1;6;0;0;0;0;0;0
394;-30.033029;-51.150212;1;0;6;1;1;0;0;1;4
395;-30.02847;-51.140123;1;1;6;1;0;0;0;1;7
396;-30.167667;-51.134082;1;3;6;1;0;0;0;0;8
397;-30.107427;-51.253926;0;1;0;0;0;0;0;0;0
398;-30.081940000000003;-51.239815;0;3;0;0;0;0;0;0;0
399;-30.063122;-51.229117;0;1;0;0;0;0;0;1;7
400;-30.045056;-51.227325;0;1;0;1;0;0;0;0;0
401;-30.024386;-51.225196;1;4;0;1;0;0;0;1;7
402;-30.044119;-51.223534;1;1;0;0;0;0;0;0;9
403;-30.14155;-51.22278;1;1;0;1;0;0;0;0;1
404;-30.025094;-51.221603;1;3;0;0;0;0;0;0;9
405;-30.090904;-51.221569;0;5;0;0;0;0;0;1;7
406;-30.090904;-51.221569;1;3;0;0;0;0;0;1;7
407;-30.034031;-51.221147;1;1;0;0;0;0;0;0;9
408;-30.043987;-51.216944;1;1;0;0;0;0;0;0;9
409;-30.028531;-51.21350200000001;1;2;0;0;0;0;0;1;7
410;-30.02849;-51.21308;1;2;0;0;0;0;0;1;7
411;-30.050197;-51.212828;0;1;0;0;0;0;0;0;0
